id      ,date,station_id                          ,temperature_mean  ,temperature_median,temperature_min   ,temperature_max   ,rain_sum          ,humidity_mean     ,humidity_min,humidity_max,wind_speed_mean     ,rain_mean           ,rain_min,rain_max,rain_no_hours,humidity_no_hours,wind_speed_no_hours,solar_rad_std_sum,solar_rad_std_no_hours,station_id                          ,datasource,src_id  ,src_elevation,latitude,longitude,geom                                          ,distance_water,,
11108137,2023/01/02,93b185d0-bc96-5949-a8fe-3a9656067930,28.225,27.99,23.48,33,0,44.30916667,28.13,65.83,1.404166667,0,0,0,24,24,24,8407,24,93b185d0-bc96-5949-a8fe-3a9656067930,metos,0020F840,444.1,-33.902212,18.923728,POINT (18.923728 -33.902212),0,,
11111971,2023/01/02,9d2cf417-8153-5078-b769-8e99c883cac5,25.58583333,25.49,18.29,34.19,0,61.4325,37.15,89.01,1.179166667,0,0,0,24,24,24,0,0,9d2cf417-8153-5078-b769-8e99c883cac5,metos,0020F842,176.1,-33.9969,18.864548,POINT (18.864548 -33.9969),0,,
11104360,2023/01/02,89b54a7e-6e3e-5a44-bfb2-4c72a2b50ee5,27.68375,26.68,21.81,34.94,0,52.95041667,39.01,81.33,0.354166667,0,0,0,24,24,24,9343,24,89b54a7e-6e3e-5a44-bfb2-4c72a2b50ee5,metos,0020F29F,323.9,-34.013096,18.87002,POINT (18.87002 -34.013096),0,,
11064485,2023/01/02,28c74ee6-172c-5eea-94a8-6b6d86b948a3,26.21708333,27.23,19.67,32.55,0,58.26,39.45,99.44,0.5375,0,0,0,24,22,24,8893,24,28c74ee6-172c-5eea-94a8-6b6d86b948a3,metos,0020F4D5,246.8,-33.92452,18.790424,POINT (18.790424 -33.92452),0,,
11077105,2023/01/02,48349069-f811-515b-9629-3c8471cb3a8a,27.395,25.68,21.34,37.98,0,52.71666667,25.8,71.2,1.8875,0,0,0,24,24,24,7475,24,48349069-f811-515b-9629-3c8471cb3a8a,metos,0310DF54,270,-33.910263,19.102215,POINT (19.102215 -33.910263),100,,
11075262,2023/01/02,439a667c-4c83-5981-8b02-33e01dbb1d89,28.39208333,28.555,22.98,33.73,0,39.25,30,60,6.429166667,0,0,0,24,16,24,9780,24,439a667c-4c83-5981-8b02-33e01dbb1d89,metos,0120D5DD,482.6,-33.936276,18.936866,POINT (18.936866 -33.936276),100,,
11072853,2023/01/02,3ecec81c-c734-5d04-80b3-8a031ed73e6d,26.5,25.755,19.03,36.09,0,54.64285714,24,79,3.645833333,0,0,0,24,14,24,10517,24,3ecec81c-c734-5d04-80b3-8a031ed73e6d,metos,0120D5AE,236.2,-33.478996,19.178462,POINT (19.178462 -33.478996),5,,
11118730,2023/01/02,ae50a68a-e161-5b72-9083-47a86aff0cfb,27.36833333,27.305,22.13,34.17,0,65.19227273,46.65,97.88,0.576190476,0,0,0,24,22,21,8228,24,ae50a68a-e161-5b72-9083-47a86aff0cfb,metos,0020F405,305.9,-34.008652,18.891978,POINT (18.891978 -34.008652),0,,
11143018,2023/01/02,ece4a009-02b7-51d1-bdcc-5fc34ff9a79d,29.14041667,28.235,22.55,36.19,0,44.18291667,27.93,70.26,1.559090909,0,0,0,24,24,22,8856,24,ece4a009-02b7-51d1-bdcc-5fc34ff9a79d,metos,0020F843,197.8,-33.815288,18.890536,POINT (18.890536 -33.815288),0,,
11076967,2023/01/02,47c3a51e-31a5-5a34-b6a7-b3c4420ffd73,27.91791667,28.465,22.53,33.72,0,46.57916667,34.4,65,1.114285714,0,0,0,24,24,21,9811,24,47c3a51e-31a5-5a34-b6a7-b3c4420ffd73,metos,0310DF6C,358.1,-34.023233,18.854243,POINT (18.854243 -34.023233),270,,
